,comments,likes,username,date,channel
31,"Hey, was wondering if you would do a review of one of Ultraísta's albums, either the self titled or Sister. Was surprised I couldn't find a review of their stuff by you seeing as it's Nigel Goodrich's band. Also, was wondering if you could have a look at Cleopatricks first album BUMMER? Love the content cheers!",,James Hall,18 hours ago,https://www.youtube.com/channel/UClsjJDkQuxjqDS9uXtLwykg
32,"Amen! Good too see a good old Christian album get an 8/10, thanks for seeing the light god bless you Anthony! ✝️🛐",1,Hip to be square,16 hours ago,https://www.youtube.com/channel/UC6GW1BeYuHG7ceeBeXZXPVw
33,"Mr Fantano, you should give a listen to the new Imperial Circus Dead Decadence album, super innovative when it comes to Symphonic Death Metal as a genre",,Clawb,13 hours ago,https://www.youtube.com/channel/UCBRSGaBoPiTnJi-Wb94nTsQ
34,NO WAY I DIDN'T EVEN KNOW THEY WERE COMING BACK,3,Austin Stockhecke,19 hours ago,https://www.youtube.com/channel/UC8Cr4HBFD8vmEcUCdU_vaLw
35,Yo I had never heard of Gospel. This album is insane!,3,Nova Afterglow,18 hours ago,https://www.youtube.com/channel/UCvJyvOb2m2n_Eu3dyoy_iUw
36,You would've given it a 10 if the cover was made of a more durable material,12,BattleReviews,19 hours ago,https://www.youtube.com/channel/UCTluxJNiKO0tHhyKszoB02Q
37,"This might be my favorite album of the year so far, along with the new Foxtails.",,ogg future,8 hours ago,https://www.youtube.com/channel/UC_H0p1hu2TQSDlwSwMFWjjw
38,"Gospel's debut album still holds a special place in my heart. This is some good news, I am really happy now.",,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
39,Very great album. Some really great riffs and production ideas,1,CDizzy,17 hours ago,https://www.youtube.com/channel/UCUNSPE-bf7eo6MIVBGKgo3w
40,"hey anthony you should check out shearwater, they have a really great new album",2,pir,18 hours ago,https://www.youtube.com/channel/UC9bWpbPiejIqBtnbQHw1urg
41,"Kurt Ballou recorded, engineered, and mixed the first album.  Producing was the LEAST of his contributions...",1,Leisure Muffin,9 hours ago,https://www.youtube.com/channel/UCgEIk-RS75nY7_3fUNylN5w
42,I've been into these guys for a long-ass time and I couldn't believe this notif when I saw it,,DaLeetah,15 hours ago,https://www.youtube.com/channel/UCPG2e4COj7CjnFiQssg8Qvw
43,You’re not a loser for preaching the Gospel! Here at our youth group we’d love to talk about the Bible with you,,-EMMA-- Go To My ChanneI! L!VE NOW,4 hours ago,https://www.youtube.com/channel/UCZVDv_QdZK3HAptp3-uXXIw
44,Can we expect you to have reviewed Chat Pile’s Slaughterhouse in time for weekly track roundup?,1,alexkurtbaker94,19 hours ago,https://www.youtube.com/channel/UCZxQNIH0gHNwlxSXhCJ6f6A
45,YES!!! I was really hoping Fantano would cover this one!!!,1,mitchell,16 hours ago,https://www.youtube.com/channel/UC3QOGyiLddhlHCMPt20bHcg
46,Imagine how different our lives would be if he had hair,6,Daniel Khan . 90 years ago,18 hours ago,https://www.youtube.com/channel/UC1L1qMUpur455V9weZk8-Hw
47,"Many post hardcore nerds are malding after you called Refused, The Refused",3,TheLuiscelaya,19 hours ago,https://www.youtube.com/channel/UCjnHwBlOOQIzoduZ-L8X4Ug
48,"Thank you, I have been waiting for you to review this. 

 It’s one of my favourite albums of the year.",2,BROKENSCAM,18 hours ago,https://www.youtube.com/channel/UCpTcLcgWOnRLxVYDWb8vZkw
49,You would've given it a 10 if the cover was made of a more durable material,,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
50,“The Moon is a Dead Wound”,11,Connor Mortifier,19 hours ago,https://www.youtube.com/channel/UCkXkoN2N8-hK8RAJYM8Iknw
51,I’m really hoping for a horsegirl review!!! They aren’t really that popular but I figure  u would be someone to take a look at them. A girl in the band went to my school!,,Rapgodmaster,12 hours ago,https://www.youtube.com/channel/UCBXXMRjtyljqvRLzLSV0Abg
52,This album slaps. Thanks Fantano!,2,Harrison Ferger,16 hours ago,https://www.youtube.com/channel/UCTH6y1xEBSggTwQl1LF2eSQ
53,"this isnt posty maloney

but this album does fuck , you shouldve checked out the new volumes record, surprisingly the best thing they've ever done",,cb,19 hours ago (edited),https://www.youtube.com/channel/UCmnd4qRcnaAPwaxwP0x4gFA
54,"I do have to say, you gave MCR a hard time for not being able to hear the vox and this band has the vox BURIED. I feel that’s something The Mars Volta excels at.",8,Nova Afterglow,18 hours ago,https://www.youtube.com/channel/UCvJyvOb2m2n_Eu3dyoy_iUw
55,"I am so, so happy you reviewed this record!!",,Sound Devastation Records,4 hours ago,https://www.youtube.com/channel/UCdrXI-DkFB1GJi6-1Qcqfig
56,This album is awesome! Although I can’t find a physical copy of it. 😏,1,MrChrisStingray,19 hours ago,https://www.youtube.com/channel/UC_2N5TSkqTmAYZPn2IQsumw
57,"The band is Refused not The Refused, and it's The Moon is a Dead World not Wound. Great review otherwise!",,Austin Goodrich,40 minutes ago,https://www.youtube.com/channel/UCiharloRnlCfJ__Uf_eYFMw
58,Need a classic review for OK Computer and Souvlaki melon.,8,Buğra Şahin,19 hours ago,https://www.youtube.com/channel/UCGsVGxKIkS4zXVLIkoaz8WA
59,Holy shit. Saw these guys at some small youth center back in 2005. Had no idea they were back.,,kumonosu joe,18 hours ago,https://www.youtube.com/channel/UCp1GXHY_1gXEryXEO3Ycj5g
60,New Gospel album!? Didn't see that one coming...,1,ding,18 hours ago,https://www.youtube.com/channel/UCzOyBT0peWx0R7PyVEOpxWw
61,I love how metallic olives talks about flat earthers.,1,Ezekiel Curry,18 hours ago,https://www.youtube.com/channel/UCuVOGtXhoCoHRQ-eMs5knrQ
62,I tore off a piece of cardboard and wrote on it in Sharpie and you gave it a 3.,6,Sub Specials,19 hours ago,https://www.youtube.com/channel/UCGj-8NtcKmOXYPpq9Ie44fQ
63,This album slaps harder than the Oscars,,Larry-kun,14 hours ago,https://www.youtube.com/channel/UCvCVNAmY1yBguCLn7d1pQUg
64,Anthony would have gave this album a 0 if it was bad,1,Sodapop,19 hours ago,https://www.youtube.com/channel/UClMzn0uVtYcJz24k3O1UphQ
65,I honestly thought you weren’t gonna review this,2,JJ,19 hours ago (edited),https://www.youtube.com/channel/UCO6SUzi3AObQeOP8iNp7qUg
66,"If you can, you should maybe review Universal Credit - Jeshi, new album and new artist, quite a different style and approach to rap",,House 33,18 hours ago,https://www.youtube.com/channel/UCLnmvsksuVs1gShwfpAEotQ
67,"1- Wake up 

2- Check for new fantano videos",1,Obam,19 hours ago,https://www.youtube.com/channel/UC90PbaahfY97iWaRi3cJezw
68,Great review as always.,,Meeran Qureshi,19 hours ago,https://www.youtube.com/channel/UCHcBA4N-rnG6FP4Izofvxkw
69,"Anthony, just because this is not a 10 does not make it a loser",,Jadus Doe,17 hours ago,https://www.youtube.com/channel/UCf_bLCtgSEWXOBNTmvGRh1g
70,Please do a pink floyd tier list melon x,10,Harry Anderson,19 hours ago,https://www.youtube.com/channel/UCXIHao29Qrrgw729mRvpDvA
71,Thank you for reviewing this album about me Anthony,,Theodore Plestis,19 hours ago,https://www.youtube.com/channel/UCYCyAS8Tn_miypkh8eaSNhA
72,'the moon is a dead wound' - i think you meant world mr anthony,2,Dean Rutherford,19 hours ago,https://www.youtube.com/channel/UC-uIwZAIIfWPGsczIVxRheQ
73,The vibe was a 10.,,LVNG WNDW,13 hours ago,https://www.youtube.com/channel/UC5mt0dgZwGzV3V-6TEfG1vA
74,Inb4 people say metallic olives is the best song in the album,,Dyiawblou,19 hours ago,https://www.youtube.com/channel/UCSbyPz-dcwBuePQxdHtn99Q
75,THIS WOULD BE A 10/10 IF IT WAS CALLED “THE WINNER” HOW RACIST ANTNEE?!,55,Gandalf’s Hat,19 hours ago,https://www.youtube.com/channel/UCDjBqGxC5yX5eNVdxBFO4zw
76,literally begging anthony to at least acknowledge the new cola/ought album,,EUBIE,15 hours ago,https://www.youtube.com/channel/UC4W83PUDrVKJvJ0tZxJF73A
77,Gonna review the new Liam Gallagher album? You should!,1,Olli Nisula,18 hours ago,https://www.youtube.com/channel/UCwiahyoWPqtL2EefWJwTXUQ
